Customer_ID,Date,Query,Agent_Response,Satisfaction_Rating
1,2024-06-01,How do I reset my password?,"To reset your password, click on ""Forgot Password"" on the login page and follow the instructions.",5
2,2024-06-01,Where is my order?,Your order is on its way and should arrive by July 1st.,4
3,2024-06-02,Can I change my shipping address?,"Yes, you can change your shipping address by logging into your account and going to the ""Orders"" section.",5
4,2024-06-02,What is your return policy?,You can return any item within 30 days of purchase for a full refund.,5
5,2024-06-03,Do you offer gift wrapping?,"Yes, we offer gift wrapping for an additional fee at checkout.",4
6,2024-06-03,How do I use a promo code?,Enter your promo code at checkout to receive your discount.,5
7,2024-06-04,What are your business hours?,"Our business hours are Monday to Friday, 9 AM to 5 PM.",4
8,2024-06-04,Can I cancel my order?,You can cancel your order within 24 hours of placing it.,3
9,2024-06-05,How do I track my shipment?,You can track your shipment using the tracking number provided in your order confirmation email.,5
10,2024-06-05,Do you ship internationally?,"Yes, we ship internationally. Shipping fees and delivery times vary by location.",4
11,2024-06-06,How do I update my account information?,"Log in to your account and go to the ""Account Settings"" section to update your information.",5
12,2024-06-06,What payment methods do you accept?,"We accept all major credit cards, PayPal, and Apple Pay.",5
13,2024-06-07,How can I contact customer service?,You can contact our customer service via email at support@example.com or by phone at 123-456-7890.,4
14,2024-06-07,Is there a warranty on your products?,"Yes, all our products come with a one-year warranty.",5
15,2024-06-08,How do I apply for a refund?,"To apply for a refund, please fill out the refund request form on our website.",4
16,2024-06-08,What should I do if I received a damaged item?,"If you received a damaged item, please contact our customer service for assistance.",5
17,2024-06-09,Do you offer bulk discounts?,"Yes, we offer bulk discounts for orders over 100 units. Please contact sales@example.com for more details.",4
18,2024-06-09,How long does it take to process a return?,Returns are processed within 5-7 business days of receiving the item.,4
19,2024-06-10,What is the status of my refund?,Your refund is currently being processed and should appear in your account within 3-5 business days.,5
20,2024-06-10,How do I change my subscription plan?,"You can change your subscription plan by logging into your account and going to the ""Subscription"" section.",4
21,2024-06-11,Do you have physical stores?,"No, we are an online-only retailer.",3
22,2024-06-11,How do I unsubscribe from your newsletter?,"You can unsubscribe from our newsletter by clicking the ""Unsubscribe"" link at the bottom of any newsletter email.",4
23,2024-06-12,Can I get a copy of my invoice?,"Yes, you can download a copy of your invoice from your account under ""Order History.""",5
24,2024-06-12,What happens if I miss a delivery?,"If you miss a delivery, the carrier will leave a notice with instructions on how to reschedule.",3
25,2024-06-13,Do you offer price matching?,"Yes, we offer price matching for identical items from reputable retailers.",4
26,2024-06-13,How do I know if an item is in stock?,Our website shows real-time stock availability for all items.,5
27,2024-06-14,Can I get expedited shipping?,"Yes, expedited shipping options are available at checkout.",4
28,2024-06-14,Do you offer financing options?,"Yes, we offer financing options through our partner, Klarna.",5
29,2024-06-15,How do I leave a review?,"You can leave a review by logging into your account and going to the ""Order History"" section.",4
30,2024-06-15,What is the delivery time for international orders?,Delivery time for international orders varies by location but typically takes 7-14 business days.,4
